skill,category
python,language
java,language
javascript,language
sql,language
html,language
css,language
c,language
c++,language

django,framework
flask,framework
spring,framework
react,framework
nodejs,framework

aws,tool
docker,tool
kubernetes,tool
git,tool
github,tool
power bi,tool
tableau,tool
excel,tool

machine learning,concept
data analysis,concept
deep learning,concept
nlp,concept

data structures,concept
algorithms,concept
problem solving,concept
dsa,concept

business analysis,business
requirements gathering,business
stakeholder management,business
process optimization,business

reporting,analytics
dashboarding,analytics
data visualization,analytics
kpi analysis,analytics

user acceptance testing,quality
test case design,quality

business analysis,concept
data visualization,concept
reporting,concept
stakeholder management,concept
process optimization,concept

